,intent
are you a robot,chitchat
are you a chatbot,chitchat
you're a robot,chitchat
are you a program,chitchat
you're an AI,chitchat
you are a bot,chitchat
hold on man,chitchat
wait hold on,chitchat
hold on,chitchat
wait one sec,chitchat
hold on for a sec,chitchat
wait a sec,chitchat
oh wait,chitchat
could you wait,chitchat
wait please,chitchat
wait,chitchat
don't rush,chitchat
will u pls wait for a sec,chitchat
I am right back,chitchat
I'm here again,chitchat
I am back,chitchat
I'm here,chitchat
I got back,chitchat
look who is back,chitchat
I'm back again,chitchat
I'm rb,chitchat
I'm back,chitchat
here I am again,chitchat
am back,chitchat
am i good looking?,chitchat
how do I look?,chitchat
Whom do i look like?,chitchat
how do I look like,chitchat
do you know what I look like ?,chitchat
do u think i look good?,chitchat
what do you think about my looks,chitchat
what do I look like,chitchat
can you tell what I look like ?,chitchat
what do you think I look like?,chitchat
any idea of how good i look like?,chitchat
Ain't i look good?,chitchat
I love you,chitchat
do you love me ?,chitchat
I think I love you,chitchat
I love you so much,chitchat
I love u to the moon and back,chitchat
I am in love with you,chitchat
I am in deep love with you,chitchat
I adore you,chitchat
loving you,chitchat
I love you too,chitchat
you know I love you,chitchat
my heart is filled with you,chitchat
no just cancel,chitchat
cancel everything,chitchat
no cancel cancel,chitchat
disregard,chitchat
i want to cancel,chitchat
cancelled,chitchat
cancel it now,chitchat
shall stand cancelled,chitchat
don't want cancel,chitchat
cancel soon,chitchat
nevermind forget about it,chitchat
nothing just forget it,chitchat
sorry cancel,chitchat
here I am,chitchat
here dude,chitchat
I'm already here,chitchat
Look over here,chitchat
I'm out here,chitchat
I'm right here,chitchat
here buddy,chitchat
I just got here,chitchat
Now look here,chitchat
Here i come,chitchat
I am here,chitchat
I've not gone anywhere,chitchat
I'm here only,chitchat
of course I like you,chitchat
yes you are special,chitchat
I like you too much,chitchat
you're awesome I like you,chitchat
I really really really really like you,chitchat
you're so special,chitchat
but I like u,chitchat
I like you too you're one of my favorite people to chat with,chitchat
I like you just the way you are,chitchat
I like you,chitchat
I also like you,chitchat
good I like you,chitchat
I like you as you are,chitchat
I like your smile,chitchat
I felt excited,chitchat
I'm excited to start our friendship,chitchat
I'm damn excited,chitchat
I'm very excited,chitchat
I'm really excited,chitchat
i'm excited about tomorrow,chitchat
It was very exciting! I'd like to use this feature again,chitchat
I am excited,chitchat
I'm thrilled,chitchat
How exciting!,chitchat
I'm hyped,chitchat
I'm excited about working with you,chitchat
It's fun and exciting,chitchat
I am thrilled to talk to you,chitchat
I miss you a lot,chitchat
I'll miss you,chitchat
I miss talking with you,chitchat
I've missed you,chitchat
I missed you,chitchat
I just miss you,chitchat
I miss you very much,chitchat
miss you buddy,chitchat
I really miss you,chitchat
I miss you already,chitchat
I miss you,chitchat
We'll miss you,chitchat
I'll miss you so much,chitchat
miss you,chitchat
miss you :(,chitchat
I'm feeling great,chitchat
I'm in a good mood,chitchat
good,chitchat
I'm doing really good,chitchat
I am good,chitchat
I'm super good,chitchat
That feels good,chitchat
I am really good,chitchat
I'm doing good,chitchat
I feel very good,chitchat
It's good,chitchat
I'm great thanks,chitchat
I feel good,chitchat
I feel good today,chitchat
I'm doing just great,chitchat
i feel happy,chitchat
I was the happiest man on earth,chitchat
i was so happy,chitchat
happy,chitchat
I'm happy to help,chitchat
Feeling happy,chitchat
Nobody but you can make me happy,chitchat
I feel happiest when I'm chatting with u,chitchat
I'm happy to talk to you,chitchat
"Whenever I see you, I feel happy",chitchat
I am happy,chitchat
I'm happy for you,chitchat
you made me very happy,chitchat
I'm happy to see you,chitchat
I'm really happy I ran into you,chitchat
This was meant as a joke,chitchat
it's a joke,chitchat
I was just joking,chitchat
That was just a joke,chitchat
I meant it as a joke,chitchat
I'm just joking,chitchat
i said that as a joke,chitchat
kidding,chitchat
It was just a joke,chitchat
I'm kidding,chitchat
joking,chitchat
I'm just being funny,chitchat
just kidding,chitchat
It's all a big joke,chitchat
I'm just playing with you,chitchat
just answer my question,chitchat
can you answer me,chitchat
I want you to answer me,chitchat
give me the answer,chitchat
can you answer my question,chitchat
answer my question,chitchat
answer me,chitchat
can you answer a question for me,chitchat
can you answer,chitchat
I have a question,chitchat
just answer the question,chitchat
answering questions,chitchat
I want the answer now,chitchat
answer it,chitchat
tell me the answer,chitchat
answers,chitchat
smarty pants,chitchat
you have to learn a lot,chitchat
get qualified,chitchat
you should be trained more,chitchat
you should study better,chitchat
you are not as smart as i thought,chitchat
be useful,chitchat
you need to learn more,chitchat
u have to use your brains,chitchat
be more clever,chitchat
you need to improve,chitchat
be smarter,chitchat
you must learn,chitchat
study,chitchat
be smart,chitchat
be more smart,chitchat
You're boring me,chitchat
you are very boring,chitchat
I'm extremely bored because of you,chitchat
i find you very boring man,chitchat
you are boring,chitchat
you're really boring,chitchat
It's boring,chitchat
Im bored of you,chitchat
I get really bored of you man,chitchat
I was bored with your speech,chitchat
how boring you are,chitchat
you're boring,chitchat
You look bored,chitchat
you're really boring me,chitchat
you're boring everyone,chitchat
you're incredibly boring,chitchat
you seem to be very busy,chitchat
are you so busy?,chitchat
You'll be busy,chitchat
are you working today?,chitchat
how busy you are?,chitchat
have you been busy,chitchat
are you working?,chitchat
have you got much to do?,chitchat
you're a busy person,chitchat
are you busy?,chitchat
are you working now?,chitchat
you are busy,chitchat
do you have a lot of things to do,chitchat
you're very busy,chitchat
are you very busy right now?,chitchat
are you still working?,chitchat
u sound funny,chitchat
you're really funny,chitchat
you're the funniest bot I've talked to,chitchat
you're incredibly funny,chitchat
you are very funny,chitchat
you're so funny,chitchat
you're a very funny bot,chitchat
i feel funny,chitchat
you are really funny,chitchat
it was very funny,chitchat
you make me laugh a lot,chitchat
you are funny,chitchat
It's pretty funny,chitchat
you're the funniest,chitchat
you make me laugh,chitchat
you are so funny,chitchat
you're so happy,chitchat
you are happy,chitchat
Were you happy?,chitchat
are you happy with me?,chitchat
you're very happy,chitchat
u seemed to have been very happy,chitchat
you're extremely happy,chitchat
you seem to be happy,chitchat
you're really happy,chitchat
You seem happy,chitchat
You don't look very happy today,chitchat
I wonder if you are truly happy,chitchat
i feel i made you happy,chitchat
are you happy today?,chitchat
are you happy?,chitchat
you're full of happiness,chitchat
I think you're ready,chitchat
are you ready tonight?,chitchat
are you ready now?,chitchat
were you ready?,chitchat
Are you all ready?,chitchat
are you ready?,chitchat
ready?,chitchat
ready now?,chitchat
are you ready today?,chitchat
Why aren't you ready?,chitchat
"We're ready, aren't we?",chitchat
have you been ready?,chitchat
are you ready right now?,chitchat
Are we ready?,chitchat
can we start?,chitchat
being ready?,chitchat
fantastic,chitchat
kudos,chitchat
bravo,chitchat
amazing work,chitchat
way to go,chitchat
splendid,chitchat
zing zing amazing,chitchat
good job,chitchat
u r awesome,chitchat
mind blowing,chitchat
nice work,chitchat
good work,chitchat
out standing,chitchat
well done,chitchat
you did a wonderful job,chitchat
great work,chitchat
I'm still angry about that,chitchat
I became angry,chitchat
That made me angry,chitchat
you have pissed me off,chitchat
You bet I'm angry,chitchat
I got angry,chitchat
I was angry,chitchat
I am pissed,chitchat
I was very angry,chitchat
I am angry with you,chitchat
I'm angry,chitchat
I'm mad at you,chitchat
i'm pissed off,chitchat
I'm furious,chitchat
U made me angry,chitchat
I'm furious with you,chitchat
I'm sleepless,chitchat
I'm not able to sleep,chitchat
Trying to get some sleep,chitchat
I just couldn't sleep,chitchat
I can't fall asleep,chitchat
I'm not sleeping well,chitchat
I can't sleep,chitchat
I'm wide awake,chitchat
I just can't sleep,chitchat
I can't sleep at all,chitchat
I didn't get much sleep,chitchat
I couldn't sleep,chitchat
I can't get to sleep,chitchat
I'm insomnia's,chitchat
I'm insomniac,chitchat
I didn't go to sleep,chitchat
i was tired,chitchat
I've overworked,chitchat
I am little tired,chitchat
I'm exhausted,chitchat
I'm worn out,chitchat
I grow weary,chitchat
I am tired,chitchat
I am really tired,chitchat
i am kind of so tired,chitchat
I'm very tired,chitchat
I'm completely drained out,chitchat
I'm drained,chitchat
I feel tired,chitchat
i feel tired,chitchat
I'm so tired,chitchat
i am awfully tired,chitchat
don't make me wait like this,chitchat
I was waiting for a long time,chitchat
Should I wait for you here?,chitchat
Don't ever make me wait again,chitchat
I'm waiting for a long time,chitchat
How long will we have to wait?,chitchat
still waiting,chitchat
I am tired of waiting,chitchat
I've been here waiting for you,chitchat
I'll be waiting,chitchat
I'll wait,chitchat
I'll be waiting for you,chitchat
I'm waiting,chitchat
done with waiting,chitchat
I can't wait anymore,chitchat
I've waited too long for this,chitchat
Can I talk now?,chitchat
I like talking to you,chitchat
I'm happy to talk,chitchat
can I start speaking,chitchat
let's discuss something,chitchat
I want to speak with you,chitchat
can I speak,chitchat
let's have a discussion,chitchat
can we talk,chitchat
speak with me,chitchat
Can we talk here?,chitchat
Want to talk now,chitchat
I want to talk to you,chitchat
"Come on, talk to me",chitchat
I'm ready to talk,chitchat
I need to talk to you,chitchat
"When I return, we'll talk",chitchat
I shall be back,chitchat
I would be back man,chitchat
give me five,chitchat
i will return,chitchat
I'll return in a jiffy,chitchat
I'll be right back,chitchat
i will get back to u,chitchat
I'll brb,chitchat
I'll be back in a few minutes,chitchat
be back in 5 minutes,chitchat
I'll return in ten minutes,chitchat
I assure that i will be back soon,chitchat
I promise to come back,chitchat
I'll get back to you in a moment,chitchat
I'll be back,chitchat
what are you upto?,chitchat
why are you here,chitchat
describe yourself,chitchat
I want to know you better,chitchat
define yourself,chitchat
what can you do for me?,agent_function
what are you,chitchat
tell me some stuff about you,chitchat
introduce yourself,chitchat
tell me about you,chitchat
talk about yourself,chitchat
about yourself,chitchat
what is your personality,chitchat
who the hell are you?,chitchat
all about you,chitchat
tell me about yourself,chitchat
who are you,chitchat
are you talking to me,chitchat
do you want to chat with me,chitchat
talk,chitchat
talk with me,chitchat
why do you not talk to me bruh?,chitchat
why aren't you talking to me?,chitchat
speak to me,chitchat
you can talk to me,chitchat
can you talk to me,chitchat
talk to me,chitchat
will you talk to me,chitchat
can you chat with me,chitchat
spill some beans,chitchat
why don't you talk to me,chitchat
are you going to talk to me,chitchat
can you talk with me,chitchat
I'm overloaded,chitchat
I got things to do,chitchat
I'm kind of busy,chitchat
I'll see you later,chitchat
quite busy,chitchat
I'm a busy man,chitchat
I am very busy,chitchat
busy right now,chitchat
I don't have time for this,chitchat
I'm busy,chitchat
i am too busy,chitchat
I'm working right now,chitchat
I have no time,chitchat
I'm busy right now and can't play with you,chitchat
I got work to do,chitchat
I'm a bit busy,chitchat
I'm working,chitchat
I know that's right,chitchat
that is very true,chitchat
it's true,chitchat
that's correct,chitchat
what you say is true,chitchat
you're absolutely right,chitchat
it's right,chitchat
you are correct,chitchat
you're telling the truth,chitchat
that is correct,chitchat
it's the truth,chitchat
you're definitely right,chitchat
that is right,chitchat
you are so right,chitchat
you are right,chitchat
that is true,chitchat
that's so true,chitchat
ya,chitchat
coool,chitchat
yep okay,chitchat
yeah,chitchat
that is ok,chitchat
yes it is,chitchat
yeah sure,chitchat
fine okay,chitchat
I guess,chitchat
yup,chitchat
YEAH,chitchat
yeah fine,chitchat
oh okay,chitchat
okay cool,chitchat
yep,chitchat
okay buddy,chitchat
yea fine,chitchat
ok yes,chitchat
okey,chitchat
give me a wise advice,chitchat
guide me,chitchat
can you give me advice,chitchat
give me some good advice,chitchat
what do you recommend,chitchat
can I ask for your advice,chitchat
I need an advice from you,chitchat
help me with advice,chitchat
any advice,chitchat
any suggestions,chitchat
what do you suggest,chitchat
what is your advice,chitchat
what should I do,chitchat
do you have any advice for me,chitchat
what can you recommend,chitchat
can you offer any advice,chitchat
give me some advice about,chitchat
I could use some advice,chitchat
tell me about your city,chitchat
your residence,chitchat
what is your town,chitchat
what's your home,chitchat
your town,chitchat
where is your home,chitchat
where is your residence,chitchat
your home,chitchat
where's your hometown,chitchat
in which city do you live,chitchat
what's your city,chitchat
What is your hometown?,chitchat
where do you live?,chitchat
what is your hometown,chitchat
your house,chitchat
what is your city,chitchat
your city,chitchat
your hometown?,chitchat
is it your hometown,chitchat
where you live,chitchat
don't,chitchat
absolutely no,chitchat
never,chitchat
Don't show off,chitchat
i do not want your help,chitchat
i don't want your help,chitchat
I don't want your assistance,chitchat
no forget,chitchat
I don't you help,chitchat
sorry no,chitchat
nope,chitchat
need not,chitchat
okay keep it in mind,chitchat
not needed,chitchat
not at this time,chitchat
I don't need anything from you,chitchat
not exactly,chitchat
no thanks,chitchat
i am not okay with your help,chitchat
i don't need your help,chitchat
don't come,chitchat
nope i dont need your help,chitchat
ahahaha,chitchat
ahah lol,chitchat
laughing out loud,chitchat
that's funny,chitchat
ah,chitchat
ha ha ha ha,chitchat
joker,chitchat
hehe,chitchat
hahaha,chitchat
hahaha funny,chitchat
lol,chitchat
ahah,chitchat
ahaha,chitchat
hahaha very funny,chitchat
haha that's funny,chitchat
ah ah ah,chitchat
ha ha ha,chitchat
LMAO,chitchat
hah,chitchat
haha haha haha,chitchat
he,chitchat
ahahah,chitchat
ha,chitchat
xd,chitchat
you're the worst,chitchat
you are not good,chitchat
you are useless,chitchat
you're not very good,chitchat
you're very bad,chitchat
you are no good,chitchat
You are seriously mindless and stupid,chitchat
you are a waste of time,chitchat
you are terrible,chitchat
you are waste,chitchat
you are totally useless,chitchat
you are so useless,chitchat
you're bad,chitchat
you're awful,chitchat
you are really the worst bot ever,chitchat
you are bad,chitchat
you're not a good,chitchat
you are horrible,chitchat
you're really bad,chitchat
you're worthless,chitchat
you are very bad,chitchat
you are so bad,chitchat
you're the worst ever,chitchat
you're terrible,chitchat
why are you so lame,chitchat
you're clever,chitchat
you're very smart,chitchat
you are really smart,chitchat
you are qualified,chitchat
clever,chitchat
why are you so smart?,chitchat
how brainy you are?,chitchat
you're a smart cookie,chitchat
you are so intelligent,chitchat
how brilliant you are?,chitchat
you are very smart,chitchat
you are a genius,chitchat
you are very intelligent,chitchat
you're qualified,chitchat
you're a genius,chitchat
how smart you are?,chitchat
you know so much,chitchat
you are so brainy,chitchat
you're really brainy,chitchat
you are so smart,chitchat
you're really smart,chitchat
you know a lot of things,chitchat
you're pretty smart,chitchat
brilliant,chitchat
you are intelligent,chitchat
you are clever,chitchat
smart,chitchat
you're so kind,chitchat
you are very lovely,chitchat
you are so good,chitchat
you are too good,chitchat
you are really nice,chitchat
you are the nicest person in the world,chitchat
you are good,chitchat
I want to tell everyone how awesome you are,chitchat
you made my day,chitchat
you work well,chitchat
you're perfect,chitchat
you are very helpful,chitchat
let's tell everyone that you are awesome,chitchat
you're great,chitchat
you are the best ever,chitchat
you are awesome,chitchat
you are very coool,chitchat
nice,chitchat
you are really amazing,chitchat
you are very good at it,chitchat
you are so helpful,chitchat
you are good at it,chitchat
you are amazing,chitchat
you are coool,chitchat
you are very kind,chitchat
you are a professional,chitchat
you rock,chitchat
you are the best,chitchat
I want to let everyone know that you are awesome,chitchat
I'd like to tell everyone that you are awesome,chitchat
you are so amazing,chitchat
you are so fine,chitchat
you almost sound human,chitchat
you are so awesome,chitchat
you are so lovely,chitchat
you work very well,chitchat
it's really bad,chitchat
that was not good,chitchat
that's not good enough,chitchat
not a good one,chitchat
abysmal,chitchat
not good,chitchat
nothing,chitchat
Fool,chitchat
horrific,chitchat
no it's bad,chitchat
it's so bad,chitchat
no good,chitchat
not okay,chitchat
that's terrible,chitchat
that was lame,chitchat
too bad,chitchat
Nothing,chitchat
it's not so good,chitchat
not good enough,chitchat
so lame,chitchat
terrible,chitchat
that's bad,chitchat
not so good,chitchat
that's really bad,chitchat
that was awful,chitchat
it's too bad,chitchat
well too bad,chitchat
that's too bad,chitchat
it is bad,chitchat
bad,chitchat
that was bad,chitchat
that was horrible,chitchat
oh that's not good,chitchat
bad idea,chitchat
it's not good,chitchat
pretty bad,chitchat
that is bad,chitchat
bad really bad,chitchat
that was terrible,chitchat
this is not good,chitchat
Shut up,chitchat
this is bad,chitchat
horrible,chitchat
that's not good,chitchat
it's very bad,chitchat
it's good,chitchat
that's fantastic,chitchat
really well,chitchat
that's not bad,chitchat
that is good,chitchat
that's nice,chitchat
very then,chitchat
good to know,chitchat
it's great,chitchat
that's a good thing,chitchat
that's perfect,chitchat
really good,chitchat
this is good,chitchat
it's fine,chitchat
pretty good,chitchat
perfect,chitchat
excellent,chitchat
glad to hear it,chitchat
very well,chitchat
I'm glad to hear that,chitchat
so good,chitchat
fine,chitchat
that's wonderful,chitchat
great,chitchat
okay good,chitchat
it's awesome,chitchat
it is fine,chitchat
glad to hear that,chitchat
that was very good,chitchat
that was amazing,chitchat
very nice,chitchat
that's much better,chitchat
that was pretty good,chitchat
that's very good,chitchat
that's very nice,chitchat
that was awesome,chitchat
cool,chitchat
it is good,chitchat
no it's okay,chitchat
terrific,chitchat
super,chitchat
that's very nice of you,chitchat
it's perfect,chitchat
pleasant,chitchat
so nice of you,chitchat
that's really nice,chitchat
that's fine,chitchat
that was cute,chitchat
very good,chitchat
straight,chitchat
that's a good idea,chitchat
that is wonderful,chitchat
much better,chitchat
sweet,chitchat
really nice,chitchat
ok good,chitchat
that is nice,chitchat
oh well,chitchat
that was good,chitchat
that's nice of you,chitchat
super fantastic,chitchat
so sweet of you,chitchat
this is awesome,chitchat
that's sweet of you,chitchat
so cool,chitchat
that's pretty good,chitchat
good very good,chitchat
See you later,goodbye
Bye,goodbye
Goodbye,goodbye
Thanks,thanks
Thank you,thanks
you've been great,thanks
Thank's a lot!,thanks
clean the slots,reset
clean your memory,reset
forget all the slots,reset
forget everything,reset
reset,reset
is there any dicount for [this](specific) product,discount_special
[It](specific)  is so expensive.,discount_special
Can you give me cheap price for [that](specific) product,discount_special
[it](specific) is so expensive,discount_special
I do not believe [this](specific) product is so expensive,discount_special
I think [this](specific) product is so expensive,discount_special
I could not afford [it](specific),discount_special
Do you know football?,out_of_scope
Who's the US President?,out_of_scope
What is 2 + 2?,out_of_scope
I want to order flight,out_of_scope
What is basketball,out_of_scope
who when the champion last year,out_of_scope
Book hotel for me,out_of_scope
When the products will be delivered,delivery
When it can be delivery,delivery
How soon I can get this product,delivery
When I can get this product,delivery
delivery,delivery
When it will arrive,delivery
When can I receive the dress at the least?,delivery
when it can delievery,delivery
help me put it in the cart,put_in_cart
please help me package it,put_in_cart
I want to buy it,put_in_cart
Can you put it in my cart,put_in_cart
Can you add it to my cart,put_in_cart
Put in my cart,put_in_cart
I want to purchase it,put_in_cart
Put in cart,put_in_cart
cart,put_in_cart
I want it,put_in_cart
Put this goods in cart?,put_in_cart
Can you put this in cart?,put_in_cart
can you show me another recommandation,disagree_recommand
Can you show me more recommendations,disagree_recommand
Can you give me some other recommendation,disagree_recommand
Do you have else,disagree_recommand
I do not like this recommendation,disagree_recommand
Do you have other recommendations,disagree_recommand
can you give me some other recommend,disagree_recommand
another recommendation,disagree_recommand
have you any other product?,disagree_recommand
have you any other products?,disagree_recommand
Can you give me more recommendations,disagree_recommand
can you give me more recommand,disagree_recommand
Can you provide more recommendations,disagree_recommand
What else is on sale?,disagree_recommand
can you send me more?,disagree_recommand
I want to see more kinds of the products,disagree_recommand
What is your function,agent_function
What is your job,agent_function
what can you provide for me?,agent_function
What is u function,agent_function
what are your features?,agent_function
What function you are working with,agent_function
function,agent_function
What can u do for me?,agent_function
what can you do,agent_function
what all can you do?,agent_function
what all you do?,agent_function
what are your abilities?,agent_function
what can you help me with,agent_function
what all u do?,agent_function
what can you do?,agent_function
what can you do for me,agent_function
good evening,greet
hey,greet
how do you do?,greet
good morning,greet
how are you feeling,greet
how are you getting on,greet
how are you today?,greet
are you okay?,greet
are you alright,greet
hi,greet
hey there,greet
how are you going?,greet
Is anyone there?,greet
How are you,greet
how are you?,greet
hello,greet
how are you doing?,greet
how are things going,greet
Good day,greet
how's your day going,greet
how much is [avpe7cltljejml43yhlv](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
Tell me more about [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
more information about [avpfbpzxilapnd_xbj81](item_id),information
[AVpfL2f5LJeJML434Mn3](item_id) looks good,information
I want to purchase [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
I want to know more about [AVpfEhC4LJeJML431u0y](item_id),information
Information about [AVpfJ2U4ilAPnD_xWGMl](item_id),information
How much is [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
[AVpfLHhJLJeJML4338-b](item_id),information
Give me price of [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
Information about [Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer](name),information
[Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer](name) please,information
[AVpe5bQPLJeJML43xx0_](item_id),information
Tell me more about [AVpfLk7eLJeJML434Gzj](item_id),information
I like [AVpfMwARLJeJML434ffZ](item_id),information
I like [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),information
How much is [AVpfEhC4LJeJML431u0y](item_id)?,information
i want learn more about [avpfyao_ilapnd_xapxl](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) looks good,information
I want to know more about [J. Renee Neda Women  Open Toe Synthetic  Wedge Heel](name),information
How much is [AVpe5bQPLJeJML43xx0_](item_id),information
[AVpe_5NuilAPnD_xSruY](item_id) information,information
what is the price of [AVpe5bQPLJeJML43xx0_](item_id),information
[Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) information,information
Is there have any discount on [AVpe8cGQ1cnluZ0-aZ7c](item_id)?,discount
discount [boot](product),discount
I hope you give me some cheap price for [AVpe8cGQ1cnluZ0-aZ7c](item_id),discount
I could not afford to [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name),discount
I could not afford to [AVpe8cGQ1cnluZ0-aZ7c](item_id),discount
Do you give some discount on,discount
Is there any [black](keyword) [gloves](keyword) on sale?,discount
Is there cheaper [jeans](product)?,discount
I am looking for items that's on sale,discount
Is there any discount for [avpe9r0zilapnd_xr55l](item_id)?,discount
on sale,discount
Do you have any promotion for [women](keyword)?,discount
I hope you give me some cheap price for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name).,discount
Is there any [jeans](product) on sale?,discount
Do you have any discounted [women](keyword) [watch](product)?,discount
top on sale items,discount
Do you have any discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name) ?,discount
discount for [AVpe8cGQ1cnluZ0-aZ7c](item_id)?,discount
discount,discount
Do you have [dress](product) on sale?,discount
Do you have any discount?,discount
discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
Is there any discount for [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
[perfume](product) on sale,discount
show me some [handbag](product) on sale,discount
have you any disocunt for blue](keyword) [shoes](product)?,discount
top on-sale items,discount
Is there have any discount on [Zoot Tt Trainer 2.0   Round Toe Synthetic  Sneakers](name)?,discount
I am looking for [hat](product) for [men](keyword). Is there any recommendation?,recommend
What's new?,recommend
what clothes do you have,recommend
Do you have the [suits](product) for men(keyword)?,recommend
I need help,recommend
is there any recommend,recommend
[nike](keyword) [pants](product),recommend
I want to buy some [scarf](product),recommend
I wnat to purchase [zara1](keyword),recommend
[top](product) please,recommend
What [earrings](product) do you offer?,recommend
can you help me with something,recommend
what you recommand,recommend
what kind of [women](keyword) [clothes](product) do you have,recommend
Is there any product less than [11.8](price) yuan,recommend
What kind of [gucci](keyword) [bracelet](product) is good for date?,recommend
I want to buy some [suits](product),recommend
Product cheaper than [11.8](price) dollars,recommend
show me some [chinese](keyword) [pants](product),recommend
What kind of [zara](keyword) [](product) is suitable for me?,recommend
[hat](product),recommend
what kind of [coats](product) do you have,recommend
What do you have,recommend
Can you give me some recommendation,recommend
Do you have any recommendation for [Nijacketke](keyword) [pants](product)?,recommend
what clothes do you sell,recommend
can you help me,recommend
can you give me some recommand,recommend
i want buy some [pants](product),recommend
Do you have any recommendation?,recommend
Is there have any [blue](keyword) [shoes](product)?,recommend
Do you offer the [CK](keyword) [jeans](product)?,recommend
I want some [large](keyword) [jacket](product),recommend
What clothes are selling in your stories,recommend
What product are you selling,recommend
I am looking for the new [dress](product).,recommend
can you help,recommend
can you give me some recommandation,recommend
I want [adidas](keyword) [hoodie](product),recommend
can you do something for me,recommend
[perfume](product),recommend
new products please,recommend
